itemDescription,Member_number,Date
butter,45,2027-04-22
rice,44,2034-10-02
soda,5,2028-05-30
yogurt,84,2029-12-08
tomatoes,93,2030-01-26
flour,79,2033-01-05
yogurt,41,2028-06-19
juice,97,2024-03-09
butter,35,2025-09-16
apples,8,2025-10-20
apples,67,2033-05-05
bread,44,2024-03-15
sugar,88,2025-05-20
butter,87,2029-10-06
ice cream,37,2034-02-19
milk,19,2033-09-10
sugar,17,2024-07-13
cereal,27,2035-04-22
flour,36,2035-05-12
yogurt,57,2028-03-11
juice,99,2025-11-04
milk,38,2035-08-13
soda,44,2035-03-31
chocolate,92,2031-02-16
ice cream,74,2023-05-25
yogurt,52,2036-08-06
ice cream,96,2032-12-08
butter,3,2032-08-27
flour,5,2024-02-28
tomatoes,34,2023-09-17
soda,67,2023-03-29
ice cream,96,2035-03-25
sugar,53,2023-11-14
cheese,43,2028-10-04
soda,24,2035-09-09
apples,13,2024-01-22
flour,34,2032-04-19
onions,68,2036-06-09
carrots,37,2035-07-01
chocolate,23,2025-05-16
cookies,11,2028-02-09
cheese,98,2033-12-13
bread,92,2030-03-22
soda,98,2031-02-04
butter,95,2034-07-20
yogurt,11,2029-05-06
potatoes,76,2026-09-28
chicken,20,2029-05-23
yogurt,50,2023-04-02
flour,92,2034-06-22
yogurt,25,2034-03-22
soda,45,2023-07-13
bread,38,2035-07-07
butter,26,2032-03-07
eggs,97,2031-08-17
ice cream,95,2023-03-27
pasta,3,2026-04-11
cereal,21,2032-05-29
cookies,8,2029-06-22
apples,42,2023-03-08
onions,7,2032-02-17
ice cream,20,2023-05-14
cereal,51,2035-04-18
cereal,79,2027-11-12
cereal,43,2029-09-05
flour,30,2023-06-22
milk,43,2035-08-31
cereal,71,2033-08-28
yogurt,9,2031-08-18
sugar,47,2026-10-27
cereal,72,2035-09-28
tomatoes,47,2023-01-30
ice cream,39,2031-12-20
tomatoes,61,2024-08-16
apples,28,2032-05-15
sugar,41,2028-06-12
flour,12,2033-09-20
ice cream,99,2034-02-21
pasta,54,2028-01-05
sugar,77,2024-02-21
soda,69,2027-05-23
onions,39,2029-07-25
sugar,11,2031-03-31
butter,80,2027-02-02
yogurt,40,2034-05-30
sugar,40,2026-06-30
cereal,9,2034-04-30
apples,35,2023-01-11
chocolate,25,2031-06-10
potatoes,84,2026-08-29
soda,79,2034-11-23
soda,43,2029-09-05
milk,7,2036-05-04
apples,67,2025-11-29
flour,99,2025-07-15
chocolate,96,2023-09-28
ice cream,36,2023-10-21
milk,94,2026-04-25
yogurt,47,2034-04-13
flour,41,2033-11-21
chocolate,23,2032-07-30
cereal,3,2033-12-21
flour,90,2030-02-15
bread,70,2032-04-20
butter,5,2025-03-24
bread,64,2033-09-22
butter,30,2027-07-30
cereal,32,2033-08-24
bread,34,2034-04-11
bread,96,2029-01-24
butter,18,2036-05-26
soda,91,2030-03-27
cereal,36,2035-04-07
soda,80,2025-12-18
cookies,32,2024-04-07
soda,41,2029-12-10
milk,7,2032-03-27
bread,56,2025-06-15
milk,51,2030-07-16
bread,50,2029-05-31
sugar,21,2035-06-02
cookies,69,2025-09-11
yogurt,3,2030-03-21
chocolate,29,2025-10-30
rice,66,2032-05-24
rice,22,2029-09-04
