itemDescription,Member_number,Date
yogurt,91,2023-10-08
chicken,6,2036-08-14
potatoes,28,2033-06-08
yogurt,20,2030-05-31
yogurt,87,2035-06-24
apples,11,2032-08-05
cookies,13,2033-12-02
potatoes,30,2034-04-04
bread,19,2028-12-23
juice,23,2033-08-17
potatoes,84,2024-01-26
milk,71,2033-11-17
eggs,54,2026-02-13
carrots,5,2032-08-10
cheese,85,2034-09-23
onions,83,2025-12-13
bread,47,2031-12-30
tomatoes,72,2033-01-02
chocolate,19,2028-09-05
milk,89,2023-03-01
cereal,19,2027-03-25
bananas,80,2034-08-29
cheese,17,2026-05-22
bread,4,2023-05-12
yogurt,26,2030-07-20
tomatoes,18,2031-10-22
rice,9,2024-03-04
chocolate,44,2023-01-21
cookies,49,2034-09-07
bananas,34,2026-01-27
yogurt,9,2029-06-05
apples,76,2030-02-02
eggs,79,2034-07-04
rice,80,2026-05-11
cheese,33,2034-02-03
apples,29,2029-03-09
tomatoes,71,2033-08-28
potatoes,18,2029-04-01
eggs,53,2027-07-06
bananas,69,2027-05-23
juice,98,2033-12-13
potatoes,16,2035-08-02
soda,74,2031-01-27
cheese,12,2034-07-05
yogurt,48,2033-10-09
onions,38,2033-01-21
pasta,37,2035-12-11
cereal,30,2024-09-13
milk,84,2036-04-13
eggs,85,2034-05-16
rice,30,2030-12-29
onions,37,2035-01-07
tomatoes,91,2031-12-10
cheese,71,2030-11-12
yogurt,54,2027-07-27
apples,70,2033-03-09
onions,84,2026-06-10
onions,49,2023-04-05
carrots,22,2032-05-02
cheese,78,2035-11-04
apples,18,2031-10-22
potatoes,16,2036-07-16
chicken,2,2023-02-20
onions,60,2031-03-26
rice,64,2035-03-06
cereal,31,2034-03-21
potatoes,68,2033-06-18
cheese,99,2034-10-31
tomatoes,53,2023-08-20
chocolate,15,2033-02-24
cereal,2,2025-08-15
pasta,72,2030-12-22
bread,48,2025-12-12
onions,58,2036-07-28
chocolate,66,2024-02-26
cookies,41,2032-04-26
cookies,9,2025-10-31
onions,8,2029-06-22
chicken,31,2028-01-24
potatoes,66,2030-08-19
carrots,56,2026-03-02
tomatoes,51,2033-04-28
yogurt,26,2034-09-10
cookies,15,2036-08-05
cheese,7,2036-05-04
pasta,25,2027-11-22
potatoes,33,2031-03-19
ice cream,28,2026-05-21
ice cream,73,2027-08-16
apples,7,2028-10-23
onions,13,2035-04-08
ice cream,40,2031-01-21
soda,48,2030-09-10
bananas,75,2026-03-20
chocolate,25,2035-09-03
eggs,51,2035-01-31
apples,80,2026-09-03
carrots,12,2023-10-07
soda,15,2034-12-14
cereal,83,2033-08-30
cereal,80,2029-07-24
cheese,35,2027-12-16
yogurt,13,2023-08-07
chicken,83,2035-11-23
bread,89,2026-03-17
bananas,54,2023-12-14
eggs,71,2025-07-08
pasta,17,2026-05-22
cereal,9,2028-08-31
onions,19,2028-12-23
tomatoes,11,2028-02-09
potatoes,24,2023-01-22
ice cream,18,2030-02-17
cheese,6,2032-12-18
apples,81,2035-09-01
cereal,79,2027-11-14
cereal,85,2030-02-08
bananas,25,2024-12-02
apples,41,2025-03-06
apples,60,2034-07-10
cheese,36,2032-05-03
juice,54,2036-04-10
carrots,37,2032-04-30
chicken,87,2034-08-02
carrots,31,2035-05-10
ice cream,4,2035-01-03
potatoes,14,2026-09-27
potatoes,85,2025-09-19
yogurt,6,2025-11-20
eggs,49,2033-04-04
pasta,54,2026-05-25
ice cream,67,2030-11-25
milk,72,2032-12-02
juice,81,2030-09-22
pasta,17,2035-10-27
cookies,88,2027-06-30
bread,6,2026-08-13
ice cream,95,2025-09-20
milk,63,2033-06-16
eggs,24,2031-06-20
ice cream,11,2024-07-12
bread,75,2026-03-12
pasta,53,2036-02-01
chocolate,26,2030-11-20
pasta,34,2027-01-03
rice,68,2036-07-22
bananas,74,2030-01-29
chocolate,28,2034-12-04
apples,45,2023-03-09
soda,88,2024-07-06
cheese,78,2034-09-24
carrots,94,2023-07-24
milk,20,2035-12-17
yogurt,80,2035-02-23
milk,61,2033-09-01
milk,43,2033-11-20
yogurt,41,2027-02-13
cereal,9,2030-12-16
juice,48,2030-09-10
chicken,99,2027-11-10
bread,94,2027-12-02
onions,74,2024-08-18
bananas,72,2025-04-12
pasta,99,2025-12-09
onions,64,2036-01-20
yogurt,68,2026-02-22
eggs,69,2034-08-18
ice cream,78,2036-04-24
tomatoes,12,2031-09-07
chocolate,23,2029-11-12
bananas,12,2033-02-19
rice,99,2023-03-07
cereal,61,2035-11-11
cheese,69,2028-06-26
juice,32,2028-10-02
bread,75,2032-01-20
bread,19,2027-03-25
cookies,18,2035-11-22
cheese,81,2031-10-10
bananas,65,2023-11-19
cheese,59,2029-10-18
apples,50,2023-04-02
cereal,13,2026-05-23
milk,14,2030-04-01
carrots,52,2031-01-05
bananas,23,2033-11-14
yogurt,57,2025-10-19
tomatoes,95,2033-08-16
onions,97,2027-07-04
cereal,99,2029-03-08
chicken,67,2030-11-13
onions,26,2033-09-06
bananas,83,2033-08-30
ice cream,13,2026-02-18
soda,72,2029-12-06
juice,59,2033-08-09
pasta,77,2035-07-24
bananas,78,2025-05-01
cookies,32,2027-10-26
cookies,29,2036-05-30
ice cream,29,2034-08-21
cookies,38,2035-03-17
rice,20,2033-10-30
pasta,9,2029-02-25
rice,54,2028-07-29
bread,10,2023-09-08
potatoes,23,2024-10-14
bread,31,2035-07-31
bread,62,2025-06-08
cereal,41,2025-02-12
chicken,61,2025-09-12
ice cream,21,2029-10-22
yogurt,32,2036-07-21
chicken,23,2035-01-14
bananas,41,2025-12-24
bread,19,2035-08-19
cookies,33,2031-12-19
juice,54,2033-06-15
onions,98,2035-12-22
tomatoes,56,2034-12-21
cereal,95,2033-09-13
milk,28,2035-05-19
yogurt,19,2036-08-09
ice cream,27,2024-03-22
cereal,13,2031-09-05
bananas,54,2033-09-21
bread,70,2036-04-05
cookies,82,2024-07-17
carrots,66,2028-01-14
chicken,68,2027-12-03
soda,85,2033-07-06
chicken,47,2024-08-05
yogurt,25,2035-05-28
yogurt,2,2026-06-26
bread,85,2023-12-04
yogurt,5,2030-01-13
onions,78,2029-05-21
tomatoes,32,2035-03-05
carrots,68,2024-12-04
pasta,48,2025-02-23
rice,62,2026-02-07
rice,46,2030-10-02
cheese,81,2036-04-02
bananas,72,2031-07-23
bananas,32,2027-08-24
pasta,33,2032-08-02
carrots,8,2033-03-20
rice,54,2028-01-05
juice,43,2024-12-21
yogurt,92,2029-10-24
ice cream,22,2031-05-15
cereal,59,2036-03-18
eggs,41,2029-12-10
bananas,34,2035-09-06
apples,25,2027-11-22
bread,41,2027-12-12
bread,26,2030-04-24
cheese,47,2024-06-14
milk,69,2025-02-18
ice cream,62,2024-11-11
potatoes,7,2026-07-24
soda,53,2027-05-29
chicken,37,2026-04-14
chocolate,92,2034-06-22
cookies,71,2033-07-20
cereal,23,2030-09-05
carrots,59,2028-03-15
cheese,96,2034-10-04
potatoes,48,2031-02-09
chocolate,13,2031-09-05
cereal,67,2031-07-26
eggs,53,2035-09-20
apples,13,2030-05-06
tomatoes,25,2033-08-03
bread,43,2030-03-09
ice cream,2,2031-02-10
juice,26,2036-03-28
onions,12,2033-04-06
pasta,26,2023-10-05
tomatoes,29,2027-12-19
cereal,97,2024-05-06
milk,94,2033-07-21
cookies,43,2028-04-18
cereal,84,2026-01-22
chocolate,19,2036-08-23
chocolate,90,2031-01-02
milk,25,2030-04-10
juice,55,2033-02-22
onions,13,2031-07-25
pasta,19,2028-05-06
rice,89,2028-07-19
ice cream,51,2035-12-25
onions,79,2024-10-20
rice,2,2035-08-06
eggs,66,2031-05-07
chicken,55,2032-01-09
potatoes,94,2029-07-20
soda,78,2034-11-29
chocolate,48,2034-11-16
chicken,34,2029-01-15
carrots,36,2030-10-08
juice,94,2029-02-17
carrots,30,2024-09-13
ice cream,19,2033-09-10
cheese,13,2026-07-08
pasta,93,2028-09-09
bananas,80,2034-04-16
chocolate,11,2033-02-18
cheese,26,2030-07-20
tomatoes,13,2025-09-14
eggs,44,2024-05-09
cereal,20,2035-06-19
tomatoes,51,2023-07-21
cereal,70,2036-06-14
soda,82,2031-01-07
yogurt,41,2029-02-22
cheese,58,2029-12-24
eggs,24,2030-04-02
bananas,79,2025-10-15
rice,1,2027-01-20
cookies,42,2027-07-12
bananas,96,2034-02-12
tomatoes,33,2023-02-28
rice,1,2027-01-20
cheese,61,2032-05-18
onions,80,2035-05-27
juice,41,2035-07-20
carrots,53,2024-12-03
ice cream,82,2033-12-04
potatoes,45,2031-06-06
eggs,12,2033-09-20
bread,23,2026-10-25
bananas,73,2035-01-02
yogurt,41,2028-02-23
cereal,14,2027-07-21
eggs,90,2034-05-01
bread,90,2030-09-11
cookies,10,2034-11-05
ice cream,92,2024-08-07
apples,72,2033-09-11
tomatoes,81,2031-03-03
tomatoes,56,2028-05-01
yogurt,59,2025-07-07
chicken,35,2025-10-25
bananas,14,2032-01-10
cookies,33,2024-01-03
tomatoes,37,2025-05-10
bread,37,2026-03-21
apples,93,2034-03-25
apples,75,2029-09-29
pasta,30,2030-08-07
cereal,81,2024-04-14
bread,36,2031-04-16
cheese,61,2029-03-27
eggs,56,2025-05-12
soda,3,2030-06-02
soda,49,2032-04-18
bananas,92,2034-06-22
yogurt,79,2033-12-28
yogurt,64,2032-03-22
soda,28,2026-01-15
bread,37,2023-09-27
cereal,15,2031-03-23
milk,14,2032-11-05
potatoes,4,2029-08-04
apples,12,2024-07-27
carrots,18,2036-04-26
pasta,45,2025-03-21
apples,81,2028-08-16
tomatoes,99,2030-12-01
rice,81,2034-12-20
tomatoes,33,2031-10-06
rice,60,2029-02-04
juice,59,2034-07-13
onions,34,2026-08-23
ice cream,79,2035-11-19
cheese,95,2034-11-06
yogurt,12,2027-02-16
cookies,62,2029-01-11
bananas,99,2025-06-29
chocolate,72,2023-01-25
cheese,51,2023-10-30
pasta,97,2034-08-20
bread,80,2033-10-23
rice,88,2033-03-16
juice,7,2023-05-07
