itemDescription,Member_number,Date
rice,25,2026-12-17
chicken,48,2030-05-27
carrots,84,2029-12-08
yogurt,7,2029-02-11
cereal,88,2032-04-11
chicken,55,2027-06-19
milk,62,2024-01-25
tomatoes,34,2035-09-06
eggs,61,2025-01-02
carrots,81,2032-01-05
bread,59,2036-04-18
tomatoes,94,2034-12-02
cereal,82,2031-07-04
eggs,50,2027-11-24
cookies,25,2031-01-20
ice cream,94,2023-09-23
cereal,11,2036-09-06
cookies,96,2028-09-03
onions,49,2034-02-08
bananas,34,2035-01-10
pasta,16,2028-09-07
eggs,75,2025-01-07
soda,32,2031-08-03
eggs,67,2033-05-05
potatoes,20,2032-05-25
carrots,33,2024-02-01
soda,93,2026-05-08
cheese,27,2030-02-04
ice cream,8,2030-10-05
pasta,45,2023-08-03
juice,93,2024-02-29
onions,96,2035-08-11
bread,2,2028-07-20
onions,1,2023-11-06
cereal,6,2036-02-09
ice cream,71,2034-01-31
chocolate,11,2031-07-18
pasta,21,2031-12-04
ice cream,62,2033-12-23
cereal,44,2028-11-11
cheese,2,2033-07-04
chicken,81,2027-05-10
bread,89,2023-02-15
juice,84,2036-04-13
juice,63,2035-10-15
chocolate,31,2033-01-17
apples,63,2026-01-07
onions,39,2029-07-25
carrots,39,2033-08-08
chocolate,90,2023-04-30
chocolate,35,2023-11-15
cheese,30,2024-09-13
cereal,96,2032-12-08
milk,85,2026-05-14
apples,10,2029-12-22
bananas,95,2034-07-20
milk,54,2032-01-25
chicken,59,2028-03-15
milk,8,2023-07-07
chocolate,82,2035-03-19
cheese,21,2029-02-16
milk,2,2029-05-28
cereal,35,2030-06-17
ice cream,4,2026-10-06
soda,20,2035-06-19
chicken,77,2030-05-12
rice,52,2027-10-13
eggs,53,2027-11-16
chocolate,56,2025-06-15
chocolate,63,2027-07-02
chocolate,78,2033-01-22
milk,21,2028-06-15
bread,8,2023-12-01
cereal,45,2024-08-12
chocolate,48,2030-05-27
cheese,67,2027-04-04
apples,43,2028-06-11
potatoes,31,2034-07-16
cereal,88,2035-06-27
milk,64,2034-06-01
